thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,SR_conf,interval,interTrial.interval,scale,start_conf,RTrating,sub,age,gender,handedness,
,,3,Main,3,up,1,90,up,0.24166666666666667,1.0654919000007794,3.18500028912677,0.88,2.0173716803267734,2.7222967268053453,conf,0.618269302338889,0.7942648000007466,14,7,7,,
,,3,Main,4,down,1,270,down,0.31666666666666665,0.7426574999990407,3.18500028912677,0.86,4.46881727769493,2.7140922451902654,conf,0.6356289424784507,0.6392761999995855,14,7,7,,
,,3,Main,5,down,1,270,down,0.31666666666666665,0.8177341000009619,3.18500028912677,0.88,4.0448732514604435,2.886350321875362,conf,0.6038080049659341,0.6053429000003234,14,7,7,,
,,3,Main,6,down,1,270,down,0.24166666666666667,0.7960628000000725,3.18500028912677,0.78,3.053061505164906,2.9807016927927155,conf,0.44357348658886186,0.7775144000006549,14,7,7,,
,,3,Main,7,down,0,90,up,0.058333333333333334,1.184438100000989,3.18500028912677,0.79,3.6056144728821233,2.5718823807832973,conf,0.5475238240665272,0.6803319000009651,14,7,7,,
,,3,Main,8,up,1,90,up,0.16666666666666666,1.7746387999995932,3.18500028912677,0.59,3.112424306715313,2.774304738374678,conf,0.3460071554946259,0.7783141999989311,14,7,7,,
,,3,Main,9,up,0,270,down,0.058333333333333334,1.207725099999152,3.18500028912677,0.61,3.8163358779600447,2.9469124956575583,conf,0.3080086469199261,0.7269465999997919,14,7,7,,
,,3,Main,10,up,1,90,up,0.24166666666666667,1.332984500000748,3.18500028912677,0.6,3.4935317074615146,2.5582770225492912,conf,0.6999528147608705,0.9376640999998926,14,7,7,,
,,3,Main,11,up,1,90,up,0.24166666666666667,1.1934156999996048,3.18500028912677,0.87,3.7328756976527053,2.399750551635189,conf,0.7088751884427363,0.6273725000010018,14,7,7,,
,,3,Main,12,down,1,270,down,0.16666666666666666,1.582971900001212,3.18500028912677,0.81,2.785093606178892,3.287372059465194,conf,0.5076150484396345,1.0962409999992815,14,7,7,,
,,3,Main,13,down,1,270,down,0.24166666666666667,1.6347889999997278,3.18500028912677,0.55,3.239501407680262,2.5629476817386023,conf,0.7456189570055451,0.7627707999999984,14,7,7,,
,,3,Main,14,up,1,90,up,0.16666666666666666,1.2689344999998866,3.18500028912677,0.59,2.7499550178129066,2.6588129500119018,conf,0.3051843531917197,0.8021859000000404,14,7,7,,
,,3,Main,15,up,1,90,up,0.6166666666666667,0.8896151999997528,3.18500028912677,1,2.14330189970363,2.8252403625227953,conf,0.7108376950492209,0.3454918000006728,14,7,7,,
,,3,Main,16,up,1,90,up,0.31666666666666665,0.7748334999996587,3.18500028912677,1,4.983578347742726,2.5662402992965023,conf,0.6212553824674072,0.45928249999997206,14,7,7,,
,,3,Main,17,down,1,270,down,0.24166666666666667,0.8177818000003754,3.18500028912677,0.77,4.081022514178599,2.4142662375136026,conf,0.2511438941474241,0.8551106999984768,14,7,7,,
,,3,Main,18,down,1,270,down,0.31666666666666665,0.7663504000011017,3.18500028912677,0.76,4.279542089974391,2.978434195233626,conf,0.6643478441639328,0.5896394000010332,14,7,7,,
,,3,Main,19,up,1,90,up,0.058333333333333334,1.6687504000001354,3.18500028912677,0.55,4.576286208940904,2.9838695082410687,conf,0.30828164527687524,0.8971603000009054,14,7,7,,
,,3,Main,20,down,1,270,down,0.058333333333333334,1.1791214000004402,3.18500028912677,0.87,3.0754993556821555,2.9283493631527304,conf,0.5276516593691302,1.9379960000005667,14,7,7,,
,,3,Main,21,up,1,90,up,0.24166666666666667,1.0018517000007705,3.18500028912677,0.84,4.283490342049236,2.609542938512361,conf,0.3804027655042733,0.9692509999986214,14,7,7,,
,,3,Main,22,up,1,90,up,0.16666666666666666,1.3569731000006868,3.18500028912677,0.65,4.542092763862035,2.9202767091599457,conf,0.5146261320860799,0.633369600000151,14,7,7,,
,,3,Main,23,up,1,90,up,0.24166666666666667,1.4991679999984626,3.18500028912677,0.6,3.4360587378673264,2.403313224740197,conf,0.7150256657159817,1.5972163999995246,14,7,7,,
,,3,Main,24,down,1,270,down,0.6166666666666667,0.8956961000003503,3.18500028912677,0.6,3.3749920682498322,2.2877213333754542,conf,0.6419136661223671,1.3410196999993786,14,7,7,,
,,3,Main,25,down,1,270,down,0.24166666666666667,0.9275189999989379,3.18500028912677,0.6,3.111474386309643,2.428635121374424,conf,0.6004368240127657,0.8666647999998531,14,7,7,,
,,3,Main,26,down,0,90,up,0.24166666666666667,1.024808000000121,3.18500028912677,0.61,4.350059733740764,2.0921159134315634,conf,0.32700406908177737,1.8100353999998333,14,7,7,,
